CustomerID,MobileAppUsage,WebPortalUsage,AvgSessionDuration,DeviceType
15590820.0,,29,5,Mobile
15607598.0,,27,5,Tablet
15757577.0,,29,5,Mobile
15653937.0,,27,5,Tablet
15751203.0,,11,5,Tablet
,,11,5,Tablet
15794849.0,,27,5,Tablet
15677324.0,,11,5,Tablet
15692408.0,,29,5,Mobile
15789014.0,,29,5,Mobile
15585907.0,,5,6,Tablet
15757467.0,,5,6,Tablet
15572461.0,,20,7,Mobile
15803790.0,,29,7,Tablet
15597033.0,,20,7,Mobile
15634491.0,,20,7,Mobile
15684995.0,,29,7,Tablet
15640905.0,,3,8,Mobile
15786170.0,,4,8,Desktop
15642824.0,,10,8,Mobile
,,10,8,Mobile
15579892.0,,10,8,Mobile
15662854.0,,10,8,Mobile
15700511.0,,4,8,Desktop
15700654.0,,3,8,Mobile
15605926.0,,13,9,Mobile
15631072.0,,0,9,Mobile
15683521.0,,29,9,Desktop
15773503.0,,0,9,Mobile
15653776.0,,13,9,Mobile
15700083.0,,13,9,Mobile
15611682.0,,0,9,Mobile
15754599.0,,0,9,Mobile
15621432.0,,2,10,Mobile
15664498.0,,0,10,Desktop
15592197.0,,0,10,Desktop
,,2,10,Mobile
15729377.0,,15,10,Desktop
15590234.0,,26,10,Desktop
15589312.0,,0,10,Desktop
,,2,10,Mobile
,,25,11,Tablet
15699532.0,,25,11,Tablet
15710034.0,,25,11,Tablet
15668058.0,,7,12,Tablet
15569178.0,,7,12,Mobile
15643824.0,,7,12,Tablet
15726490.0,,14,12,Desktop
15599301.0,,23,12,Desktop
15756932.0,,23,12,Desktop
15765192.0,,7,12,Tablet
15782404.0,,19,12,Mobile
15621457.0,,19,12,Mobile
,,23,12,Desktop
15773098.0,,14,12,Desktop
15663263.0,,14,13,Tablet
15623346.0,,14,13,Tablet
15605672.0,,15,13,Mobile
15614635.0,,5,14,Tablet
15638487.0,,5,14,Tablet
15712287.0,,3,15,Tablet
15785798.0,,3,15,Tablet
15585961.0,,3,15,Tablet
15720910.0,,21,16,Tablet
15777826.0,,22,16,Mobile
15693233.0,,21,16,Tablet
15711901.0,,22,16,Mobile
15706131.0,,21,16,Tablet
,,22,17,Mobile
15809087.0,,15,17,Tablet
15586629.0,,15,17,Tablet
15701280.0,,15,17,Tablet
15805690.0,,15,17,Tablet
15643828.0,,2,17,Tablet
15639549.0,,22,17,Mobile
,,22,17,Mobile
15724944.0,,23,18,Tablet
15598044.0,,23,18,Tablet
15766609.0,,23,18,Tablet
15600813.0,,6,18,Desktop
15581505.0,,23,18,Tablet
15639117.0,,23,18,Tablet
15698927.0,,17,18,Desktop
15623471.0,,11,19,Mobile
15762110.0,,11,19,Mobile
15720662.0,,11,19,Mobile
15732448.0,,11,19,Mobile
15639946.0,,9,19,Desktop
15674678.0,,11,19,Mobile
15790412.0,,9,19,Desktop
15608726.0,,9,19,Desktop
15596414.0,,14,20,Tablet
15587013.0,,25,20,Desktop
15576550.0,,8,20,Mobile
15685096.0,,25,20,Desktop
15796787.0,,14,20,Tablet
15709643.0,,8,20,Mobile
15780961.0,,18,21,Mobile
15763431.0,,24,21,Tablet
15726354.0,,7,21,Desktop
15637644.0,,21,21,Desktop
15716449.0,,21,21,Desktop
,,7,21,Desktop
15672152.0,,7,21,Desktop
15790935.0,,7,21,Desktop
15567431.0,,21,21,Desktop
15587584.0,,26,21,Tablet
15790810.0,,24,21,Tablet
15666711.0,,26,21,Tablet
15612043.0,,21,21,Desktop
15598802.0,,24,21,Tablet
15740458.0,,21,21,Desktop
15791321.0,,26,21,Tablet
15586680.0,,7,21,Desktop
15619898.0,,24,21,Tablet
15807728.0,,21,21,Desktop
,,7,21,Desktop
15650258.0,,4,22,Mobile
,,5,22,Desktop
15713374.0,,5,22,Desktop
15616929.0,,5,22,Desktop
15589147.0,,6,22,Tablet
15632899.0,,4,22,Mobile
15636860.0,,5,22,Desktop
15678427.0,,6,22,Tablet
15743076.0,,5,22,Desktop
15775627.0,,6,22,Tablet
15694408.0,,0,24,Mobile
15681174.0,,11,24,Mobile
15612064.0,,3,24,Mobile
15703482.0,,20,24,Desktop
15664881.0,,3,24,Mobile
15707596.0,,16,24,Desktop
15733964.0,,16,24,Desktop
15594878.0,,3,24,Mobile
15603665.0,,0,24,Mobile
15725478.0,,16,24,Desktop
15680046.0,,0,24,Mobile
15647259.0,,3,24,Mobile
15660636.0,,11,24,Mobile
15621140.0,,11,24,Mobile
15576615.0,,11,24,Mobile
15638494.0,,11,24,Mobile
15669606.0,,16,25,Desktop
15799357.0,,16,25,Desktop
15743149.0,,16,25,Desktop
15761554.0,,7,25,Mobile
15794360.0,,7,25,Mobile
15702741.0,,13,26,Mobile
15715541.0,,13,26,Mobile
15749381.0,,13,26,Mobile
,,3,27,Desktop
15781553.0,,3,27,Tablet
15603088.0,,3,27,Tablet
15631201.0,,3,27,Tablet
,,3,27,Tablet
15672397.0,,3,27,Desktop
15744622.0,,7,27,Tablet
15660417.0,,7,27,Tablet
15805676.0,,7,27,Tablet
15736778.0,,7,27,Tablet
15603454.0,,3,27,Tablet
,,3,27,Tablet
