CustomerID,CompetitorWebsiteVisits,ChurnedFriends,MarketSentimentScore
15623944,0.0,0,Negative
15804919,0.0,0,Negative
15779659,0.0,0,Negative
15705707,0.0,0,Positive
15723886,0.0,0,Negative
15636673,0.0,0,Negative
15612187,0.0,0,Positive
15663252,0.0,0,Negative
15578186,0.0,0,Positive
15753719,0.0,0,Negative
15805062,0.0,0,Negative
15672692,0.0,0,Positive
15734565,0.0,0,Negative
15765311,0.0,0,Positive
15721935,0.0,0,Negative
15754713,0.0,0,Negative
15705620,0.0,0,Negative
15645621,0.0,0,Negative
15686345,0.0,0,Negative
15650098,0.0,0,Positive
15813917,0.0,0,Negative
15682563,0.0,0,Negative
15748797,0.0,0,Positive
15629617,0.0,0,Negative
15781210,0.0,0,Positive
15725141,0.0,0,Negative
15735222,0.0,0,Negative
15777904,0.0,0,Positive
15612771,0.0,0,Positive
15777639,0.0,0,Negative
15800517,0.0,0,Positive
15569209,0.0,0,Positive
15664754,0.0,0,Negative
15687310,0.0,0,Positive
15587913,0.0,0,Negative
15567399,0.0,0,Negative
15805260,0.0,0,Negative
15812982,0.0,0,Positive
15756125,0.0,0,Negative
15775888,0.0,0,Positive
15656912,0.0,0,Negative
15747724,0.0,0,Negative
15742210,0.0,0,Positive
15666548,0.0,0,Negative
15752300,0.0,0,Positive
15711834,0.0,0,Positive
15707144,0.0,0,Positive
15775891,0.0,0,Negative
15581548,0.0,0,Positive
15625522,0.0,0,Negative
15700487,0.0,0,Negative
15711218,0.0,0,Positive
15672091,0.0,0,Positive
15774727,0.0,0,Negative
15810075,0.0,0,Negative
15583137,0.0,0,Positive
15734312,0.0,0,Negative
15673539,0.0,0,Positive
15611191,0.0,0,Negative
15814553,0.0,0,Positive
15577514,0.0,0,Negative
15623712,0.0,0,Negative
15598700,0.0,0,Positive
15604576,0.0,0,Negative
15806184,0.0,0,Positive
15691952,0.0,0,Negative
15738634,0.0,0,Negative
15757952,0.0,0,Negative
15771580,0.0,0,Negative
15773512,0.0,0,Positive
15592078,0.0,0,Negative
15607278,0.0,0,Positive
15804787,0.0,0,Negative
15803685,0.0,0,Positive
15585427,0.0,0,Positive
15717290,0.0,0,Positive
15579914,0.0,0,Negative
15610930,0.0,0,Negative
15761654,0.0,0,Negative
15675252,0.0,0,Positive
15736302,0.0,0,Positive
15701281,0.0,0,Positive
15768124,0.0,0,Positive
15656086,0.0,0,Positive
15575510,0.0,0,Negative
15591550,0.0,0,Positive
15569264,0.0,0,Negative
15784000,0.0,0,Negative
15566269,0.0,0,Positive
15691396,0.0,0,Negative
15580701,0.0,0,Negative
15566253,0.0,0,Negative
15617507,0.0,0,Positive
15628893,0.0,0,Positive
15626679,0.0,0,Negative
15785373,0.0,0,Negative
15659937,0.0,0,Negative
15690731,0.0,0,Negative
15646351,0.0,0,Negative
15758510,0.0,0,Positive
15790247,0.0,0,Positive
15754526,0.0,0,Positive
15650026,0.0,0,Positive
15704340,0.0,0,Negative
15707505,0.0,0,Positive
15582033,0.0,0,Negative
15598157,0.0,0,Positive
15628697,0.0,0,Negative
15618816,0.0,0,Positive
15659567,0.0,0,Negative
15809847,0.0,0,Negative
15599074,0.0,0,Negative
15760216,0.0,0,Positive
15804853,0.0,0,Negative
15605791,0.0,0,Negative
15617348,0.0,0,Positive
15731166,0.0,0,Positive
15737998,0.0,0,Negative
15746995,0.0,0,Negative
15734649,0.0,0,Negative
15726167,0.0,0,Negative
15711249,0.0,0,Positive
15789014,0.0,0,Negative
15674750,0.0,0,Positive
15725002,0.0,0,Negative
15793896,0.0,0,Positive
15672357,0.0,0,Positive
15777616,0.0,0,Negative
15613197,0.0,0,Positive
15806929,0.0,0,Negative
15627042,0.0,0,Negative
15678067,0.0,0,Positive
15713440,0.0,0,Negative
15793803,0.0,0,Positive
15656249,0.0,0,Positive
15770539,0.0,0,Negative
15771674,0.0,0,Negative
15813871,0.0,0,Negative
15727177,0.0,0,Negative
15608845,0.0,0,Negative
15603550,0.0,0,Negative
15605534,0.0,0,Positive
15589698,0.0,0,Positive
15603035,0.0,0,Positive
15812422,0.0,0,Positive
15804150,0.0,0,Negative
15801351,0.0,0,Negative
15792726,0.0,0,Positive
15683053,0.0,0,Positive
15754443,0.0,0,Positive
15585466,0.0,0,Negative
15695383,0.0,0,Negative
15590810,0.0,0,Negative
15734714,0.0,0,Negative
15689953,0.0,0,Negative
15653773,0.0,0,Negative
15777046,0.0,0,Negative
15742323,0.0,0,Negative
15724336,0.0,0,Positive
15736250,0.0,0,Positive
15663650,0.0,0,Positive
15636977,0.0,0,Positive
15805681,0.0,0,Positive
15702656,0.0,0,Positive
15739248,0.0,0,Negative
15739847,0.0,0,Negative
15751926,0.0,0,Negative
15638788,0.0,0,Negative
15623566,0.0,0,Negative
15681274,0.0,0,Positive
15603883,0.0,0,Positive
15779423,0.0,0,Positive
15615430,0.0,0,Positive
15652999,0.0,0,Positive
15732963,1.0,0,Neutral
15698028,1.0,0,Positive
15810845,1.0,0,Positive
15568748,1.0,0,Neutral
15736008,1.0,0,Positive
15745354,1.0,0,Positive
15686302,1.0,0,Positive
15600651,1.0,0,Positive
15665678,1.0,0,Positive
15651674,1.0,0,Neutral
15603323,1.0,0,Neutral
15674991,1.0,0,Neutral
15753831,1.0,0,Positive
15692991,1.0,0,Positive
15720702,1.0,0,Positive
15645511,1.0,0,Neutral
15697095,1.0,0,Neutral
15775546,1.0,0,Positive
15649280,1.0,0,Positive
15794014,1.0,0,Neutral
15595303,1.0,0,Neutral
15632575,1.0,0,Neutral
15589320,1.0,0,Positive
15808044,1.0,0,Positive
15661821,1.0,0,Neutral
15769064,1.0,0,Neutral
15661734,1.0,0,Positive
15654106,1.0,0,Positive
15645463,1.0,0,Neutral
15785782,1.0,0,Neutral
15614827,1.0,0,Positive
15670587,1.0,0,Neutral
15613216,1.0,0,Neutral
15582910,1.0,0,Neutral
15670859,1.0,0,Positive
15651943,1.0,0,Positive
15609545,1.0,0,Neutral
15597914,1.0,0,Neutral
15659236,1.0,0,Positive
15643865,1.0,0,Positive
15659568,1.0,0,Neutral
15680001,1.0,0,Neutral
15812241,1.0,0,Positive
15716381,1.0,0,Positive
15713769,1.0,0,Positive
15629475,1.0,0,Positive
15672594,1.0,0,Neutral
15729224,1.0,0,Neutral
15600478,1.0,0,Neutral
15711254,1.0,0,Neutral
15764432,1.0,0,Positive
15670822,1.0,0,Positive
15670496,1.0,0,Positive
15709653,1.0,0,Neutral
15797627,1.0,0,Neutral
15758039,1.0,0,Neutral
15761525,1.0,0,Positive
15731781,1.0,0,Neutral
15727198,1.0,0,Neutral
15656921,1.0,0,Neutral
15595037,1.0,0,Neutral
15704160,1.0,0,Neutral
15668629,1.0,0,Neutral
15748231,1.0,0,Positive
15636407,1.0,0,Neutral
15756301,1.0,0,Positive
15746183,1.0,0,Positive
15772618,1.0,0,Positive
15588235,1.0,0,Neutral
15656188,1.0,0,Neutral
15615832,1.0,0,Neutral
15787693,1.0,0,Positive
15799785,1.0,0,Positive
15602456,1.0,0,Positive
15658504,1.0,0,Neutral
15782089,1.0,0,Neutral
15749964,1.0,0,Positive
15687540,1.0,0,Positive
15638730,1.0,0,Neutral
15610711,1.0,0,Neutral
15670528,1.0,0,Positive
15669805,1.0,0,Positive
15624343,1.0,0,Neutral
15811389,1.0,0,Positive
15794159,1.0,0,Positive
15669783,1.0,0,Positive
15662501,1.0,0,Positive
15627195,1.0,0,Positive
15770548,1.0,0,Neutral
15659305,1.0,0,Positive
15621140,1.0,0,Positive
15613518,1.0,0,Positive
15644994,1.0,0,Positive
15746704,1.0,0,Neutral
15645896,1.0,0,Positive
15590177,1.0,0,Neutral
15813451,1.0,0,Neutral
15577657,10.0,0,Negative
15610156,10.0,0,Negative
15624592,10.0,0,Positive
15659420,10.0,0,Negative
15633537,10.0,0,Negative
15677371,10.0,0,Negative
15701376,10.0,0,Positive
15652883,10.0,0,Positive
15776780,10.0,0,Positive
15591047,10.0,0,Negative
15619857,10.0,0,Positive
15703119,10.0,0,Negative
15653780,10.0,0,Negative
15622750,10.0,0,Negative
15810864,10.0,0,Neutral
15776807,10.0,0,Negative
15809087,10.0,0,Negative
15632210,10.0,0,Negative
15794580,10.0,0,Negative
15814275,10.0,0,Neutral
15593773,10.0,0,Negative
15741336,10.0,0,Negative
15660429,10.0,0,Negative
15715003,10.0,0,Positive
15784092,10.0,0,Neutral
15626147,10.0,0,Positive
15685309,10.0,0,Negative
15747591,10.0,0,Positive
15809772,10.0,0,Positive
15774882,10.0,0,Positive
15681843,10.0,0,Positive
15607713,10.0,0,Positive
15677049,10.0,0,Positive
15697283,10.0,0,Negative
15651802,10.0,0,Neutral
15675320,10.0,0,Negative
15605037,10.0,0,Negative
15690925,10.0,0,Positive
15810457,10.0,0,Negative
15772243,10.0,0,Positive
15635597,10.0,0,Negative
15606613,10.0,0,Negative
15641835,10.0,0,Negative
15573876,10.0,0,Negative
15744368,10.0,0,Positive
15604782,10.0,0,Negative
15589643,10.0,0,Negative
15763171,10.0,0,Negative
15732476,10.0,0,Positive
15725039,10.0,0,Negative
15607837,10.0,0,Neutral
15630167,10.0,0,Negative
15689351,10.0,0,Neutral
15625623,10.0,0,Positive
15782659,10.0,0,Negative
15577064,10.0,0,Positive
15658693,10.0,0,Negative
15655192,10.0,0,Neutral
15703205,10.0,0,Negative
15787318,10.0,0,Neutral
15668818,10.0,0,Positive
15813439,10.0,0,Positive
15761348,10.0,0,Negative
15643658,10.0,0,Positive
15636999,10.0,0,Positive
15670172,10.0,0,Neutral
15713379,10.0,0,Positive
15787529,10.0,0,Negative
15768455,10.0,0,Negative
15715541,10.0,0,Negative
15793813,10.0,0,Negative
15699284,10.0,0,Positive
15801247,10.0,0,Positive
15638963,10.0,0,Negative
15807909,10.0,0,Negative
15733964,10.0,0,Neutral
15747097,10.0,0,Negative
15589715,10.0,0,Negative
15591279,10.0,0,Negative
15627220,10.0,0,Negative
15757632,10.0,0,Negative
15724863,10.0,0,Negative
15654519,10.0,0,Neutral
15715079,10.0,0,Neutral
15632324,10.0,0,Negative
15671630,10.0,0,Negative
15573599,10.0,0,Positive
15573319,10.0,0,Neutral
15717935,10.0,0,Negative
15643361,10.0,0,Neutral
15685290,10.0,0,Neutral
15602797,10.0,0,Negative
15653306,10.0,0,Negative
15714610,10.0,0,Negative
15732307,10.0,0,Negative
15653715,10.0,0,Negative
15767129,10.0,0,Positive
15598275,10.0,0,Neutral
15599869,10.0,0,Positive
15675380,10.0,0,Negative
15618695,10.0,0,Positive
15783629,10.0,0,Negative
15568429,10.0,0,Positive
15658158,10.0,0,Negative
15719827,10.0,0,Negative
15658852,10.0,0,Neutral
15739194,10.0,0,Negative
15760514,10.0,0,Negative
15580719,10.0,0,Positive
15607314,10.0,0,Negative
15622230,10.0,0,Negative
15719858,10.0,0,Negative
15752885,10.0,0,Neutral
15744789,10.0,0,Negative
15807003,10.0,0,Negative
15721921,10.0,0,Negative
15733447,10.0,0,Neutral
15661548,10.0,0,Positive
15792986,10.0,0,Negative
15627741,10.0,0,Negative
15775709,10.0,0,Negative
15718465,10.0,0,Neutral
15668104,10.0,0,Negative
15703728,10.0,0,Neutral
15688612,10.0,0,Negative
15702190,10.0,0,Neutral
15804038,10.0,0,Negative
15652469,10.0,0,Negative
15778696,10.0,0,Neutral
15719779,10.0,0,Negative
15639217,10.0,0,Negative
15675749,10.0,0,Negative
15663410,10.0,0,Negative
15779174,10.0,0,Positive
15648766,10.0,0,Negative
15572801,10.0,0,Negative
15626156,10.0,0,Negative
15711733,10.0,0,Negative
15813862,10.0,0,Negative
15758856,10.0,0,Neutral
15579891,10.0,0,Neutral
15746986,10.0,0,Negative
15779627,10.0,0,Neutral
15589437,10.0,0,Neutral
15571995,10.0,0,Negative
15614520,10.0,0,Negative
15742824,10.0,0,Positive
15781534,10.0,0,Negative
15677243,10.0,0,Positive
15755978,10.0,0,Negative
15700801,10.0,0,Positive
15652401,10.0,0,Negative
15666559,10.0,0,Neutral
15614054,10.0,0,Negative
15683483,10.0,0,Negative
15689955,10.0,0,Negative
15599591,10.0,0,Neutral
15708265,10.0,0,Neutral
15642816,10.0,0,Neutral
15640418,10.0,0,Positive
15720529,10.0,0,Negative
15709459,10.0,0,Neutral
15750921,10.0,0,Negative
15809800,10.0,0,Negative
15599272,10.0,0,Neutral
15580366,10.0,0,Neutral
15770255,10.0,0,Negative
15705506,10.0,0,Negative
15700693,10.0,0,Negative
15808780,10.0,0,Negative
15674671,10.0,0,Negative
15775104,10.0,0,Negative
15699532,10.0,0,Negative
15756824,10.0,0,Neutral
15587712,10.0,0,Negative
15672905,10.0,0,Positive
15811958,10.0,0,Negative
15658614,10.0,0,Neutral
15764314,10.0,0,Positive
15700540,10.0,0,Positive
15727291,10.0,0,Negative
15635502,10.0,0,Neutral
15710034,10.0,0,Negative
15646969,10.0,0,Negative
15815125,10.0,0,Negative
15700424,10.0,0,Neutral
15810910,10.0,0,Neutral
15665579,10.0,0,Negative
15676810,10.0,0,Negative
15739123,10.0,0,Positive
15701972,10.0,0,Negative
15749114,10.0,0,Negative
15632538,10.0,0,Negative
15743760,10.0,0,Negative
15652835,10.0,0,Negative
15724648,10.0,0,Negative
15687001,10.0,0,Positive
15769402,10.0,0,Negative
15728605,10.0,0,Negative
15656319,10.0,0,Neutral
15728885,10.0,0,Negative
15572767,10.0,0,Positive
15772216,10.0,0,Positive
15618750,10.0,0,Negative
15572021,10.0,0,Negative
15705174,10.0,0,Neutral
15650424,10.0,0,Neutral
15807312,10.0,0,Negative
15798084,10.0,0,Negative
15633059,2.0,0,Neutral
15787174,2.0,0,Positive
15694717,2.0,0,Neutral
15594898,2.0,0,Positive
15684484,2.0,0,Positive
15684042,2.0,0,Neutral
15694506,2.0,0,Positive
15584766,2.0,0,Neutral
15762218,2.0,0,Positive
15653547,2.0,0,Neutral
15592300,2.0,0,Neutral
15665956,2.0,0,Positive
15646161,2.0,0,Positive
15738181,2.0,0,Neutral
15580684,2.0,0,Positive
15780804,2.0,0,Neutral
15804072,2.0,0,Positive
15585595,2.0,0,Positive
15681554,2.0,0,Neutral
15649992,2.0,0,Positive
15601589,2.0,0,Positive
15697000,2.0,0,Positive
15668032,2.0,0,Neutral
15593969,2.0,0,Positive
15714750,2.0,0,Neutral
15575581,2.0,0,Neutral
15650351,2.0,0,Positive
15686909,2.0,0,Neutral
15779947,2.0,0,Neutral
15804602,2.0,0,Neutral
15596181,2.0,0,Neutral
15629244,2.0,0,Neutral
15765537,2.0,0,Positive
15689514,2.0,0,Positive
15697311,2.0,0,Positive
15695129,2.0,0,Neutral
15718944,2.0,0,Neutral
15806447,2.0,0,Positive
15617603,2.0,0,Positive
15738828,2.0,0,Neutral
15673342,2.0,0,Neutral
15589380,2.0,0,Neutral
15783398,2.0,0,Neutral
15741554,2.0,0,Positive
15591386,2.0,0,Positive
15726267,2.0,0,Positive
15805303,2.0,0,Neutral
15714586,2.0,0,Neutral
15777553,2.0,0,Neutral
15602034,2.0,0,Positive
15756056,2.0,0,Positive
15784676,2.0,0,Positive
15806332,2.0,0,Positive
15635972,2.0,0,Neutral
15710366,2.0,0,Neutral
15644896,2.0,0,Positive
15720838,2.0,0,Neutral
15756560,2.0,0,Neutral
15567333,2.0,0,Neutral
15631170,2.0,0,Neutral
15783444,2.0,0,Positive
15681550,2.0,0,Positive
15685109,2.0,0,Positive
15726589,2.0,0,Neutral
15812917,2.0,0,Positive
15707968,2.0,0,Positive
15570943,2.0,0,Neutral
15766289,2.0,0,Positive
15792102,2.0,0,Positive
15578738,2.0,0,Neutral
15667742,2.0,0,Neutral
15663161,2.0,0,Neutral
15694879,2.0,0,Neutral
15660541,2.0,0,Neutral
15688172,2.0,0,Positive
15791373,2.0,0,Neutral
15612465,2.0,0,Positive
15774744,2.0,0,Neutral
15602124,2.0,0,Neutral
15593897,2.0,0,Neutral
15806230,2.0,0,Neutral
15743871,2.0,0,Positive
15610781,2.0,0,Positive
15695225,2.0,0,Neutral
15737080,2.0,0,Positive
15591747,2.0,0,Neutral
15774630,2.0,0,Neutral
15801821,2.0,0,Positive
15765650,2.0,0,Neutral
15702380,2.0,0,Neutral
15716619,2.0,0,Neutral
15652084,2.0,0,Positive
15614893,2.0,0,Neutral
15790412,2.0,0,Neutral
15568238,2.0,0,Neutral
15632899,2.0,0,Neutral
15808526,2.0,0,Positive
15613734,2.0,0,Positive
15572956,2.0,0,Positive
15708046,2.0,0,Positive
15669664,2.0,0,Positive
15697028,2.0,0,Neutral
15645355,2.0,0,Neutral
15729557,2.0,0,Positive
15614361,2.0,0,Neutral
15575428,2.0,0,Positive
15804797,2.0,0,Neutral
15698872,2.0,0,Positive
15799494,2.0,0,Neutral
15661275,2.0,0,Neutral
15793455,2.0,0,Positive
15600720,2.0,0,Neutral
